time,open,high,low,close,volume
2022-10-05 13:00:00+00:00,29.358,29.707,29.177,29.507,0.7758
2022-10-05 14:00:00+00:00,29.507,30.028,29.467,29.877,1.26816
2022-10-05 15:00:00+00:00,29.848,29.908,29.458,29.588,0.63648
2022-10-05 16:00:00+00:00,29.598,29.738,29.117,29.238,0.72732
2022-10-05 17:00:00+00:00,29.208,29.278,28.917,29.078,0.57276
2022-10-05 18:00:00+00:00,29.077,29.238,28.927,28.997,0.68664
2022-10-05 19:00:00+00:00,29.007,29.117,28.638,28.857,0.71196
2022-10-05 20:00:00+00:00,28.887,28.938,28.587,28.817,0.147983
2022-10-05 22:00:00+00:00,28.798,28.908,28.577,28.697,0.02868
2022-10-05 23:00:00+00:00,28.657,28.777,28.487,28.508,0.09372
2022-10-06 00:00:00+00:00,28.547,28.578,28.098,28.207,0.16152
2022-10-06 01:00:00+00:00,28.238,28.368,28.138,28.238,0.24768
2022-10-06 02:00:00+00:00,28.237,28.318,28.167,28.238,0.18636
2022-10-06 03:00:00+00:00,28.218,28.258,28.127,28.237,0.12276
2022-10-06 04:00:00+00:00,28.238,28.307,28.177,28.237,0.09636
2022-10-06 05:00:00+00:00,28.218,28.277,28.167,28.268,0.11724
2022-10-06 06:00:00+00:00,28.218,28.627,28.217,28.587,0.2112
2022-10-06 07:00:00+00:00,28.567,28.668,28.427,28.528,0.5808
2022-10-06 08:00:00+00:00,28.537,28.778,28.428,28.688,0.42048
2022-10-06 09:00:00+00:00,28.708,28.907,28.657,28.867,0.28188
2022-10-06 10:00:00+00:00,28.897,28.997,28.797,28.907,0.23484
2022-10-06 11:00:00+00:00,28.888,28.927,28.747,28.828,0.23556
2022-10-06 12:00:00+00:00,28.838,28.908,28.417,28.637,0.37812
2022-10-06 13:00:00+00:00,28.638,28.878,28.458,28.828,0.84852
2022-10-06 14:00:00+00:00,28.837,29.318,28.727,28.758,1.17168
2022-10-06 15:00:00+00:00,28.747,29.097,28.658,29.018,0.99588
2022-10-06 16:00:00+00:00,29.037,29.317,28.907,28.978,0.72444
2022-10-06 17:00:00+00:00,28.967,29.158,28.867,28.937,0.57192
2022-10-06 18:00:00+00:00,28.937,29.808,28.917,29.708,0.66996
2022-10-06 19:00:00+00:00,29.697,30.018,29.587,29.867,0.8412
2022-10-06 20:00:00+00:00,29.907,30.057,29.827,30.018,0.243431
2022-10-06 22:00:00+00:00,30.017,30.108,29.908,30.047,0.029388
2022-10-06 23:00:00+00:00,30.068,30.068,29.848,30.017,0.09444
2022-10-07 00:00:00+00:00,30.047,30.058,29.838,29.898,0.18864
2022-10-07 01:00:00+00:00,29.907,29.958,29.797,29.827,0.15012
2022-10-07 02:00:00+00:00,29.848,29.888,29.707,29.798,0.1242
2022-10-07 03:00:00+00:00,29.788,29.928,29.727,29.887,0.123
2022-10-07 04:00:00+00:00,29.877,29.997,29.817,29.977,0.11388
2022-10-07 05:00:00+00:00,29.997,30.037,29.867,29.938,0.17556
2022-10-07 06:00:00+00:00,29.937,30.257,29.867,30.137,0.26292
2022-10-07 07:00:00+00:00,30.127,30.207,29.787,29.958,0.45468
2022-10-07 08:00:00+00:00,29.938,30.058,29.787,29.827,0.27312
2022-10-07 09:00:00+00:00,29.808,29.857,29.617,29.708,0.22488
2022-10-07 10:00:00+00:00,29.688,29.887,29.647,29.777,0.21276
